id,agencia,ano,id_agencia,nome_mecanismo_agencia,ementa,objetivo_participacao,tema,subtema,lei_1_depois_0_antes,data_convocacao,data_convocacao_ano,instrumento_participacao,data_contribuicao_inicio,data_contribuicao_fim,doc_convocacao_existe,doc_base_existe,rac_existe,rac_data,relatorio_sintese_existe,relatorio_sintese_data,produto_final_descricao,produto_final_data,produto_final_documento,atualizacao_data
ANAC_2008_Consulta Pública Nº 02/2008_250,ANAC,2008,Consulta Pública nº 02/2008,Consulta Pública,Fica instaurada Consulta Pública para a regulamentação do Processo de Alocação de Freqüências Internacionais e de Designação de Empresas Aéreas Regulares Brasileiras,Normas e regulamentos,Serviços aéreos,-,0,39612,2008,PNP,39612,39627,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 57,39731,Disponível,43333
ANAC_2008_Consulta Pública Nº 03/2008_185,ANAC,2008,Consulta Pública nº 03/2008,Consulta Pública,Fica instaurada Consulta Pública com vistas à elaboração de regra a ser incluída nos apêndices F do RBHA 135 e M do RBHA 121 – Especificações de Gravadores Digitais de Dados de Vôo para aviões.,Normas e regulamentos,Produtos aeronáuticos,-,0,39658,2008,PNP,39658,39674,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 05/2008_184,ANAC,2008,Consulta Pública nº 05/2008,Consulta Pública,"Fica instaurada Consulta Pública com vistas à concessão de isenção de demonstração de concordância com o requisito RBHA 23.181 (b), emenda 23-45, peticionada pela Empresa Brasileira de Aeronáutica S.A. - Embraer para o projeto de tipo do avião modelo EMB-500.",Atos e contratos,Produtos aeronáuticos,-,0,39679,2008,PNP,39679,39699,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 04/2008_247,ANAC,2008,Consulta Pública nº 04/2008,Consulta Pública,"Fica instaurada a Consulta Pública com vistas à elaboração do Regulamento Brasileiro de Aviação Civil nº 01 - RBAC 01, intitulado “Regulamentos Brasileiros de Aviação Civil. Definições, Regras de Redação e Unidades de Medida”.",Normas e regulamentos,Serviços aéreos,-,0,39680,2008,PNP,39680,39690,Disponível,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 06/2008_48,ANAC,2008,Consulta Pública nº 06/2008,Consulta Pública,"Alteração da política tarifária para vôos internacionais com origem no Brasil e destino nos demais países do mundo, exceto os da América do Sul.",Normas e regulamentos,Gestão tarifária,-,0,39696,2008,PNP,39696,39724,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 61,39772,Disponível,43333
ANAC_2008_Consulta Pública Nº 07/2008_183,ANAC,2008,Consulta Pública nº 07/2008,Consulta Pública,Condição especial para o projeto de tipo do avião Embraer modelo EMB-500 VLJ aplicável ao respectivo sistema de indicação de velocidades.,Normas e regulamentos,Produtos aeronáuticos,-,0,39702,2008,PNP,39702,39722,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Audiência Pública nº 01/2008_308,ANAC,2008,Audiência Pública nº 01/2008,Audiência Pública,"Submeter à Audiência Pública a minuta de resolução dispondo sobre a realocação
de horários de chegadas e partidas de aeronaves em linhas aéreas domésticas de transporte regular
de passageiros.",Normas e regulamentos,Serviços aéreos,-,0,39714,2008,PP,39714,39763,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43914
ANAC_2008_Consulta Pública Nº 08/2008_196,ANAC,2008,Consulta Pública nº 08/2008,Consulta Pública,"Aprovação da inclusão, na IAC 3206-0387, da indicação das aeronaves Embraer modelos EMB-170 e EMB-190 no que diz respeito à composição da tripulação – número mínimo de comissários de vôo.",Normas e regulamentos,Formação de profissionais,-,0,39717,2008,PNP,39717,39739,Disponível,Disponível,Disponível,39749,N/D,N/D,Resolução nº 59; Nota Técnica 009/SAR-ANAC/2008,39757,Disponível,43333
ANAC_2008_Consulta Pública Nº 10/2008_246,ANAC,2008,Consulta Pública nº 10/2008,Consulta Pública,Realocação de horários de chegadas e partidas de aeronaves em linhas aéreas domésticas de transporte regular de passageiros.,Normas e regulamentos,Serviços aéreos,-,0,39722,2008,PNP,39722,39783,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 09/2008_93,ANAC,2008,Consulta Pública nº 09/2008,Consulta Pública,Estabelecimento de critérios e procedimentos para a alocação de áreas aeroportuárias.,Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,39748,2008,PNP,39748,39778,Disponível,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 12/2008_247,ANAC,2008,Consulta Pública nº 12/2008,Consulta Pública,Procedimentos e Normas Gerais para a Elaboração de Regras e Emendas aos Regulamentos da ANAC -RBAC 11.,Normas e regulamentos,Serviços aéreos,-,0,39752,2008,PNP,39752,39795,Disponível,Disponível,Disponível,39844,N/D,N/D,Resolução nº 73; Regulamento Brasileiro de Aviação Civil,39864,Disponível,43333
ANAC_2008_Consulta Pública Nº 11/2008_102,ANAC,2008,Consulta Pública nº 11/2008,Consulta Pública,"Revogação de portarias tratando da fixação dos valores e dos procedimentos para cobrança de tarifas aeroportuárias domésticas de embarque, pouso e permanência para os aeroportos internacionais do Rio de Janeiro/Galeão - Antônio Carlos Jobim, de São Paulo/Guarulhos - Governador André Franco Montoro e de Belo Horizonte/Tancredo Neves – Confins.",Normas e regulamentos,Gestão tarifária,-,0,39762,2008,PNP,39762,39792,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2008_Consulta Pública Nº 14/2008_92,ANAC,2008,Consulta Pública nº 14/2008,Consulta Pública,Estabelecimento de regras gerais para alocação inicial de horários de chegada e partida de aeronaves em linhas aéreas domésticas de transporte regular de passageiros em aeroportos domésticos que tenham um aumento de capacidade e/ou alteração de restrição operacional.,Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,39771,2008,PNP,39771,39801,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43332
ANAC_2008_Consulta Pública Nº 13/2008_246,ANAC,2008,Consulta Pública nº 13/2008,Consulta Pública,"Revogação da Portaria nº 187/DGAC, de 8 de março de 2005.",Normas e regulamentos,Serviços aéreos,-,0,39771,2008,PNP,39771,39801,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 75,39878,Disponível,43333
ANAC_2008_Consulta Pública Nº 01/2008_249,ANAC,2008,Consulta Pública nº 01/2008,Consulta Pública,Fica instaurada consulta pública para edição de instrumento normatizador que estabeleça as diretrizes gerais e os procedimentos para que os Governos Estaduais procedam à elaboração/revisão dos respectivos Planos Aeroviários Estaduais (PAE),Normas e regulamentos,Serviços aéreos,-,N/D,N/D,N/D,PNP,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43332
ANAC_2009_Audiência Pública Nº 03/2009_94,ANAC,2009,Audiência Pública nº 03/2009,Audiência Pública,"Submeter a audiência pública proposta de revogação da Portaria nº 187/DGAC, de 8 de março de 2005, que estabelece critérios de utilização dos aeroportos situados nas Áreas de Controle Terminal (TMA) do Rio de Janeiro",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,39821,2009,PP,39821,39835,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43333
ANAC_2009_Audiência Pública Nº 04/2009_57,ANAC,2009,Audiência Pública nº 04/2009,Audiência Pública,"Proposta de revogação da Portaria nº 187/DGAC, de 08/03/2005, que estabelece critérios de utilização dos aeroportos em Áreas de Controle Terminal (TMA) do Rio de Janeiro.",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,39821,2009,PP,39821,39835,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 75,39878,Disponível,43299
ANAC_2009_Audiência Pública nº 05/2009_34,ANAC,2009,Audiência Pública nº 05/2009,Audiência Pública,"Submeter a audiência pública proposta de Resolução dispondo sobre alteração da política tarifária aplicável a voos internacionais de passageiros com origem no Brasil e destino nos demais países do mundo, exceto os da América do Sul",Normas e regulamentos,Gestão tarifária,-,0,39841,2009,PP,39841,39855,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 83,39926,Disponível,43299
ANAC_2009_Consulta Pública Nº 01/2009._252,ANAC,2009,Consulta Pública nº 01/2009,Consulta Pública,Alteração do Regulamento Brasileiro de Homologação Aeronáutica - RBHA nº 145.,Normas e regulamentos,Serviços aéreos,-,0,39848,2009,PNP,39848,39857,Disponível,Disponível,Disponível,39869,N/D,N/D,Resolução nº 74,39877,Disponível,43333
ANAC_2009_Audiência Pública Nº 06/2009_124,ANAC,2009,Audiência Pública nº 06/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC nº 35, intitulado “Requisitos de aeronavegabilidade: Hélices” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica - RBHA 35",Normas e regulamentos,Produtos aeronáuticos,-,0,39891,2009,PNP,39891,39911,Disponível,Disponível,Disponível,39917,N/D,N/D,Resolução nº 82,39926,Disponível,43299
ANAC_2009_Audiência Pública Nº 07/2009_123,ANAC,2009,Audiência Pública nº 07/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC nº 33, intitulado “Requisitos de aeronavegabilidade: Motores aeronáuticos” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica - RBHA 33",Normas e regulamentos,Produtos aeronáuticos,-,0,39891,2009,PNP,39891,39911,Disponível,Disponível,Disponível,39917,N/D,N/D,Resolução nº 81,39926,Disponível,43299
ANAC_2009_Audiência Pública Nº 08/2009_122,ANAC,2009,Audiência Pública nº 08/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC nº 29, intitulado “Requisitos de aeronavegabilidade: Aeronaves de asas rotativas categoria transporte” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica - RBHA 29 –,",Normas e regulamentos,Produtos aeronáuticos,-,0,39891,2009,PNP,39891,39911,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 80,39926,Disponível,43299
ANAC_2009_Audiência Pública Nº 09/2009_121,ANAC,2009,Audiência Pública nº 09/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil – RBAC nº 27, intitulado “Requisitos de aeronavegabilidade: Aeronaves de asas rotativas categoria normal” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica - RBHA 27 –,",Normas e regulamentos,Produtos aeronáuticos,-,0,39891,2009,PNP,39891,39911,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 79,39926,Disponível,43299
ANAC_2009_Audiência Pública Nº 10/2009_120,ANAC,2009,Audiência Pública nº 10/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC nº 25, intitulado “Requisitos de Aeronavegabilidade: Aviões categoria transporte” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica - RBHA 25",Normas e regulamentos,Produtos aeronáuticos,-,0,39891,2009,PNP,39891,39911,Disponível,Disponível,Disponível,39917,N/D,N/D,Resolução nº 78,39926,Disponível,43299
ANAC_2009_Audiência Pública Nº 11/2009_119,ANAC,2009,Audiência Pública nº 11/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC nº 23, intitulado “Requisitos de Aeronavegabilidade: Aviões Categoria Normal, Utilidade, Acrobática e Transporte Regional” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica - RBHA 23",Normas e regulamentos,Produtos aeronáuticos,-,0,39891,2009,PNP,39891,39911,Disponível,Disponível,Disponível,39917,N/D,N/D,Resolução nº 77,39926,Disponível,43299
ANAC_2009_Audiência Pública Nº 12/2009_106,ANAC,2009,Audiência Pública nº 12/2009,Audiência Pública,Submeter a audiência pública proposta de Programa de Segurança Operacional Específico da Agência Nacional de Aviação Civil - PSOE-ANAC.,Políticas Públicas,Administração e planejamento,-,0,39918,2009,PP e PNP,39918,39933,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 84,39945,Disponível,43299
ANAC_2009_Audiência Pública nº 15/2009_17,ANAC,2009,Audiência Pública nº 15/2009,Audiência Pública,"Submeter a audiência pública proposta de alteração do Regulamento Brasileiro de Homologação Aeronáutica - RBHA nº 121, intitulado “Requisitos Operacionais: Operações Domésticas, de Bandeira e Suplementares”",Normas e regulamentos,Formação de profissionais,-,0,39918,2009,PNP,39918,39938,Disponível,Disponível,Disponível,39939,N/D,N/D,Resolução nº 98,39946,Disponível,43298
ANAC_2009_Audiência Pública Nº 13/2009_118,ANAC,2009,Audiência Pública nº 13/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC nº 34, intitulado “Requisitos para drenagem de combustível e emissões de escapamento de aviões com motores a turbina” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica - RBHA nº 34",Normas e regulamentos,Produtos aeronáuticos,-,0,39918,2009,PNP,39918,39938,Disponível,Disponível,Disponível,39946,N/D,N/D,Resolução nº 101,39976,Disponível,43299
ANAC_2009_Audiência Pública Nº 14/2009_117,ANAC,2009,Audiência Pública nº 14/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC nº 36, intitulado “Requisitos de ruído para aeronave” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica - RBHA nº 36",Normas e regulamentos,Produtos aeronáuticos,-,0,39918,2009,PNP,39918,39938,Disponível,Disponível,Disponível,39946,N/D,N/D,Resolução nº 102,39976,Disponível,43299
ANAC_2009_Audiência Pública Nº 16/2009_216,ANAC,2009,Audiência Pública nº 16/2009,Audiência Pública,"Submeter a audiência pública propostas de edição do Regulamento Brasileiro da Aviação Civil nº 175 - RBAC 175, intitulado “Transporte de artigos perigosos em aeronaves civis”, e da Instrução Suplementar nº 175-001 - IS 175-001, intitulada “Orientações para o transporte de artigos perigosos em aeronaves civis”,",Normas e regulamentos,Serviços aéreos,-,0,39918,2009,PNP,39918,39938,Disponível,Disponível,Disponível,39994,N/D,N/D,Resolução nº 129,40156,Disponível,43298
ANAC_2009_Audiência Pública Nº 18/2009_215,ANAC,2009,Audiência Pública nº 18/2009,Audiência Pública,Submeter a audiência pública proposta de Resolução dispondo sobre as condições gerais de transporte aplicáveis aos atrasos e cancelamentos de voos e às hipóteses de preterição de passageiros.,Normas e regulamentos,Serviços aéreos,-,0,39918,2009,PP e PNP,39918,39948,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 141,40252,Disponível,43298
ANAC_2009_Audiência Pública nº 19/2009_16,ANAC,2009,Audiência Pública nº 19/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC 67, intitulado “Inspeção de Saúde e Certificado de Capacidade Física”, que estabelece normas gerais para a realização de inspeção de saúde e procedimentos afins em aeronavegantes civis, para a obtenção e revalidação do Certificado de Capacidade Física (CCF)",Normas e regulamentos,Formação de profissionais,-,0,39931,2009,PNP,39931,39954,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43298
ANAC_2009_Audiência Pública nº 20/2009_15,ANAC,2009,Audiência Pública nº 20/2009,Audiência Pública,"Submeter a audiência pública propostas de alteração do Regulamento Brasileiro de Homologação Aeronáutica - RBHA 135, intitulado “Requisitos Operacionais: Operações Complementares e por Demanda” e do Regulamento Brasileiro de Homologação Aeronáutica - RBHA 121, intitulado “Requisitos Operacionais: Operações Domésticas, de Bandeira e Suplementares”",Normas e regulamentos,Formação de profissionais,-,0,39931,2009,PNP,39931,39953,Disponível,Disponível,N/D,N/D,N/D,N/D,Resolução nº 169,40415,Disponível,43298
ANAC_2009_Audiência Pública Nº 17/2009_56,ANAC,2009,Audiência Pública nº 17/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC 154, intitulado “Projeto de Aeródromos”",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,39931,2009,PNP,39931,39943,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 93,39945,Disponível,43298
ANAC_2009_Audiência Pública Nº 21/2009_214,ANAC,2009,Audiência Pública nº 21/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil - RBAC 119, intitulado “Certificação: Empresas e Operadores Aéreos”",Normas e regulamentos,Serviços aéreos,-,0,39931,2009,PNP,39931,39953,Disponível,Disponível,Disponível,39964,N/D,N/D,Resolução nº 117,40109,Disponível,43298
ANAC_2009_Audiência Pública nº 22/2009_6,ANAC,2009,Audiência Pública nº 22/2009,Audiência Pública,"Submeter a audiência pública proposta de Resolução que dispõe sobre os procedimentos de implementação do Protocolo de Emenda à Convenção de Aviação Civil Internacional assinado em 06 de outubro de 1980 e promulgado no Brasil pelo Decreto nº 2.735, de 13 de agosto de 1998 – Artigo 83 bis",Normas e regulamentos,Formação de profissionais; Produtos aeronáuticos; Gestão tarifária; Serviços aéreos; Infraestrutura aeronáutica e aeroportuária,-,0,39960,2009,PNP,39960,39980,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 105,39988,Disponível,43298
ANAC_2009_Audiência Pública nº 23/2009_33,ANAC,2009,Audiência Pública nº 23/2009,Audiência Pública,Submeter a audiência pública proposta de Resolução dispondo sobre a instituição do regime de liberdade tarifária para os serviços de transporte aéreo público regular internacional de carga com origem no Brasil.,Normas e regulamentos,Gestão tarifária,-,0,39994,2009,PP e PNP,39994,40025,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 118,40109,Disponível,43297
ANAC_2009_Audiência Pública Nº 25/2009_116,ANAC,2009,Audiência Pública nº 25/2009,Audiência Pública,"Submeter a audiência pública proposta da Emenda 128 ao Regulamento Brasileiro da Aviação Civil nº 25 (RBAC nº 25), intitulado “Requisitos de Aeronavegabilidade: Aviões Categoria Transporte”,",Normas e regulamentos,Produtos aeronáuticos,-,0,40024,2009,PNP,40024,40054,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 112,40092,Disponível,43297
ANAC_2009_Audiência Pública Nº 28/2009_114,ANAC,2009,Audiência Pública nº 28/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil nº 31 (RBAC nº 31), intitulado “Requisitos de Aeronavegabilidade: Balões Livres Tripulados” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica 31 (RBHA 31)",Normas e regulamentos,Produtos aeronáuticos,-,0,40024,2009,PNP,40024,40084,Disponível,Disponível,Disponível,40142,N/D,N/D,Resolução n° 363,42293,Disponível,43297
ANAC_2009_Audiência Pública Nº 29/2009_113,ANAC,2009,Audiência Pública nº 29/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil nº 26 (RBAC nº 26), intitulado “Aeronavegabilidade Continuada e Melhorias na Segurança para Aviões Categoria Transporte” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica 26 (RBHA 26) –",Normas e regulamentos,Produtos aeronáuticos,-,0,40024,2009,PNP,40024,40084,Disponível,Disponível,Disponível,40235,N/D,N/D,Resolução nº 144,40259,Disponível,43297
ANAC_2009_Audiência Pública Nº 24/2009_55,ANAC,2009,Audiência Pública nº 24/2009,Audiência Pública,"Submeter a audiência pública proposta de estabelecimento de critérios regulatórios para implantação, operação e manutenção do Serviço de Prevenção, Salvamento e Combate a Incêndio em Aeródromos Civis (SESCINC)",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,40037,2009,PNP,40037,40047,Disponível,Disponível,Disponível,40086,N/D,N/D,"Resolução nº 115, seu anexo, apêndices I, II, III, IV",40093,Disponível,43297
ANAC_2009_Audiência Pública Nº 26/2009_54,ANAC,2009,Audiência Pública nº 26/2009,Audiência Pública,Submeter a audiência pública proposta de estabelecimento de critérios e procedimentos para alocação de áreas aeroportuárias,Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,40044,2009,PNP,40044,40064,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 113,40079,Disponível,43297
ANAC_2009_Audiência Pública Nº 27/2009_115,ANAC,2009,Audiência Pública nº 27/2009,Audiência Pública,Submeter a audiência pública proposta de instituição do Programa Selo de Avaliação Dimensional – Selo ANAC,Políticas Públicas,Produtos aeronáuticos,-,0,40044,2009,PNP,40044,40074,Disponível,Disponível,Disponível,40086,N/D,N/D,Resolução nº 135,40248,Disponível,43297
ANAC_2009_Audiência Pública Nº 30/2009_112,ANAC,2009,Audiência Pública nº 30/2009,Audiência Pública,"Submeter a audiência pública proposta de estabelecimento de condição especial a ser incorporada à base de certificação do projeto de tipo do avião Embraer EMB-505, aplicável ao sistema de combustível",Normas e regulamentos,Produtos aeronáuticos,-,0,40072,2009,PNP,40072,40102,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 120,40134,Disponível,43297
ANAC_2009_Audiência Pública Nº 31/2009_111,ANAC,2009,Audiência Pública nº 31/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil nº 21 (RBAC nº 21), intitulado “Certificação de Produto Aeronáutico” – em substituição aos Regulamentos Brasileiros de Homologação Aeronáutica 21, 22 e 26 (RBHAs 21, 22 e 26)",Normas e regulamentos,Produtos aeronáuticos,-,0,40136,2009,PNP,40136,40166,Disponível,Disponível,Disponível,40235,Disponível,N/D,Resolução nº 143,40254,Disponível,43297
ANAC_2009_Audiência Pública nº 32/2009_14,ANAC,2009,Audiência Pública nº 32/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil nº 141 (RBAC nº 141), intitulado “Centros de Instrução de Aviação Civil, Destinados à Formação e Capacitação de Tripulantes de Voo, Tripulantes de Cabine e Despachantes Operacionais de Voo” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica 141 (RBHA 141)",Normas e regulamentos,Formação de profissionais,-,0,40156,2009,PNP,40156,40186,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43297
ANAC_2009_Audiência Pública Nº 33/2009_213,ANAC,2009,Audiência Pública nº 33/2009,Audiência Pública,"Submeter a audiência pública proposta de edição do Regulamento Brasileiro da Aviação Civil nº 121 (RBAC nº 121), intitulado “Requisitos Operacionais: Operações Domésticas, de Bandeira e Suplementares” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica 121 (RBHA 121) –",Normas e regulamentos,Serviços aéreos,-,0,40156,2009,PNP,40156,40186,Disponível,Disponível,Disponível,40237,N/D,N/D,Resolução nº 146,40259,Disponível,43294
ANAC_2010_Audiência Pública Nº 08/2010_107,ANAC,2010,Audiência Pública nº 08/2010,Audiência Pública,"Proposta de edição do Regulamento Brasileiro da Aviação Civil nº 39 (RBAC nº 39), intitulado “Diretrizes de Aeronavegabilidade”.",Normas e regulamentos,Produtos aeronáuticos,-,0,39875,2009,PNP,39875,40270,Disponível,Disponível,Disponível,40514,N/D,N/D,Resolução nº 185,40604,Disponível,43300
ANAC_2010_Audiência Pública Nº 09/2010_130,ANAC,2010,Audiência Pública nº 09/2010,Audiência Pública,"Proposta de estabelecimento de condição especial a ser incorporada à base de certificação do projeto de tipo do avião Embraer ERJ 190, aplicável aos assentos com grandes painéis não metálicos e não tradicionais.",Normas e regulamentos,Produtos aeronáuticos,-,0,39875,2009,PNP,39875,40270,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 149,40298,Disponível,43300
ANAC_2010_Audiência Pública Nº 01/2010_100,ANAC,2010,Audiência Pública nº 01/2010,Audiência Pública,"Proposta de edição do Regulamento Brasileiro da Aviação Civil nº 45 (RBAC nº 45), intitulado “Marcas de Identificação, de Nacionalidade e de Matrícula”.",Normas e regulamentos,Produtos aeronáuticos,-,0,40198,2010,PNP,40198,40228,Disponível,Disponível,Disponível,40239,N/D,N/D,Resolução nº 145,40259,Disponível,43667
ANAC_2010_Audiência Pública Nº 02/2010_36,ANAC,2010,Audiência Pública nº 02/2010,Audiência Pública,Proposta de Resolução que dispõe sobre os procedimentos de registro das tarifas aplicáveis aos serviços de transporte aéreo público regular doméstico e internacional.,Normas e regulamentos,Gestão tarifária,-,0,40199,2010,PNP,40199,40228,Disponível,Disponível,Disponível,40247,N/D,N/D,Resolução nº 140,40249,Disponível,43667
ANAC_2010_Audiência Pública Nº 03/2010_109,ANAC,2010,Audiência Pública nº 03/2010,Audiência Pública,"Proposta de edição de Emenda nº 01 ao Regulamento Brasileiro da Aviação Civil nº 01 (RBAC nº 01), intitulado “Regulamentos Brasileiros de Aviação Civil. Definições, Regras de Redação e Unidades de Medida”.",Normas e regulamentos,Produtos aeronáuticos,-,0,40212,2010,PNP,40212,40242,Disponível,Disponível,Disponível,40276,N/D,N/D,Resolução nº 184,40604,Disponível,43667
ANAC_2010_Audiência Pública Nº 04/2010_108,ANAC,2010,Audiência Pública nº 04/2010,Audiência Pública,"Proposta de edição do Regulamento Brasileiro da Aviação Civil nº 47 (RBAC nº 47), intitulado “Registro Aeronáutico Brasileiro” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica 47 (RBHA 47).",Normas e regulamentos,Produtos aeronáuticos,-,0,40212,2010,PNP,40212,40257,Disponível,Disponível,N/D,N/D,N/D,N/D,Matéria submetida a nova consulta pública (20/2012).,41606,Disponível,43667
ANAC_2010_Audiência Pública Nº 05/2010_205,ANAC,2010,Audiência Pública nº 05/2010,Audiência Pública,"Proposta de edição do Regulamento Brasileiro da Aviação Civil nº 135 (RBAC nº 135), intitulado “Requisitos Operacionais: Operações Complementares e por Demanda” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica 135 (RBHA 135).",Normas e regulamentos,Serviços aéreos,-,0,40212,2010,PNP,40212,40242,Disponível,Disponível,Disponível,40268,N/D,N/D,Resolução nº 169,40415,Disponível,43302
ANAC_2010_Audiência Pública Nº 06/2010_97,ANAC,2010,Audiência Pública nº 06/2010,Audiência Pública,Proposta de Resolução dispondo sobre o lançamento de valores no bilhete de passagem.,Normas e regulamentos,Serviços aéreos,-,0,40212,2010,PNP,40212,40232,Disponível,Disponível,Disponível,40247,N/D,N/D,Resolução nº 138,40249,Disponível,43301
ANAC_2010_Audiência Pública Nº 07/2010_96,ANAC,2010,Audiência Pública nº 07/2010,Audiência Pública,Proposta de Resolução dispondo sobre o lançamento de valores no conhecimento de carga.,Normas e regulamentos,Serviços aéreos,-,0,40212,2010,PNP,40212,40232,Disponível,Disponível,Disponível,40247,N/D,N/D,Resolução nº 139,40249,Disponível,43301
ANAC_2010_Audiência Pública Nº 10/2010_98,ANAC,2010,Audiência Pública nº 10/2010,Audiência Pública,"Proposta de edição do Regulamento Brasileiro da Aviação Civil 43 (RBAC 43), intitulado “Manutenção, Manutenção Preventiva, Reconstrução e Modificação” – em substituição ao Regulamento Brasileiro de Homologação Aeronáutica – RBHA 43 “Manutenção, Manutenção Preventiva, Recondicionamento, Modificação e Reparos”.",Normas e regulamentos,Produtos aeronáuticos,-,0,40282,2010,PNP,40282,40342,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43300
