id,agencia,ano,id_agencia,nome_mecanismo_agencia,ementa,objetivo_participacao,tema,subtema,lei_1_depois_0_antes,data_convocacao,data_convocacao_ano,instrumento_participacao,data_contribuicao_inicio,data_contribuicao_fim,doc_convocacao_existe,doc_base_existe,rac_existe,rac_data,relatorio_sintese_existe,relatorio_sintese_data,produto_final_descricao,produto_final_data,produto_final_documento,atualizacao_data
ANAC_2017_Audiência Pública nº 22/2017_27,ANAC,2017,Audiência Pública nº 22/2017,Audiência Pública,Proposta de edição de emenda ao Regulamento Brasileiro da Aviação Civil nº 142 (RBAC nº 142).,Normas e regulamentos,Formação de profissionais,-,0,43025,2017,PNP,43025,43059,Disponível,Disponível,Disponível,43131,N/D,N/D,Resolução nº 467,43229,Disponível,43326
ANAC_2017_Audiência Pública nº 23/2017_176,ANAC,2017,Audiência Pública nº 23/2017,Audiência Pública,"Proposta de emenda ao Regulamento Brasileiro da Aviação Civil nº 34 (RBAC nº 34), intitulado “Requisitos para Drenagem de Combustível e Emissões de Escapamento de Aviões com Motores a Turbina”.",Normas e regulamentos,Produtos aeronáuticos,-,0,43025,2017,PNP,43025,43059,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 452,43084,Disponível,43326
ANAC_2017_Audiência Pública nº 24/2017_26,ANAC,2017,Audiência Pública nº 24/2017,Audiência Pública,"Proposta de edição do Regulamento Brasileiro da Aviação Civil nº 60 (RBAC nº 60), intitulado “Requisitos para Qualificação e Uso de Dispositivos de Treinamento para Simulação de Voo”.",Normas e regulamentos,Formação de profissionais,-,0,43042,2017,PNP,43042,43073,Disponível,Disponível,Disponível,43921,N/D,N/D,Resolução nº 545,43908,Disponível,43326
ANAC_2017_Audiência Pública nº 25/2017_7,ANAC,2017,Audiência Pública nº 25/2017,Audiência Pública,"Proposta de Edição do Regulamento Brasileiro de Aviação Civil nº 103 (RBAC nº 103), de emendas aos RBACs nºs 01, 61, 91, 141 e 183 e alteração da Resolução nº 377, de 15 de março de 2016.",Normas e regulamentos,Formação de profissionais; Produtos aeronáuticos; Gestão tarifária; Serviços aéreos; Infraestrutura aeronáutica e aeroportuária,-,0,43081,2017,PNP,43081,43115,Disponível,Disponível,Disponível,43281,N/D,N/D,Resolução nº 473; Resolução nº 474; Resolução nº 475; Resolução nº 476; Resolução nº 477; Resolução nº 478; Resolução nº 479,43259,Disponível,43326
ANAC_2018_Audiência Pública nº 02/2018_87,ANAC,2018,Audiência Pública nº 02/2018,Audiência Pública,"Proposta de alteração da Resolução nº 338, de 22 de julho de 2014, que regulamenta o procedimento de alocação de horários de chegadas e partidas em aeroportos coordenados (slots) e dispõe sobre os aeroportos de interesse.",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,43129,2018,PNP,43129,43159,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 487,43334,Disponível,43328
ANAC_2018_Audiência Pública nº 01/2018_47,ANAC,2018,Audiência Pública nº 01/2018,Audiência Pública,"Proposta de emenda ao Regulamento Brasileiro da Aviação Civil nº 23 (RBAC nº 23), intitulado “Requisitos de aeronavegabilidade: aviões categoria normal, utilidade, acrobática e transporte regional”.",Normas e regulamentos,Produtos aeronáuticos,-,0,43129,2018,PNP,43129,43159,Disponível,Disponível,Disponível,43190,N/D,N/D,Resolução nº 466,43214,Disponível,43328
ANAC_2018_Audiência Pública nº 03/2018_88,ANAC,2018,Audiência Pública nº 03/2018,Audiência Pública,"Proposta de resolução que estabelece requisitos e procedimentos para empresas brasileiras de transporte aéreo referentes à designação e utilização de frequências com o propósito de realizar serviços aéreos regulares internacionais, em substituição às Resoluções nºs 26, de 16 de maio de 2008, e 57, de 10 de outubro de 2008.",Normas e regulamentos,Serviços aéreos,-,0,43129,2018,PP e PNP,43129,43174,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 491,43348,Disponível,43328
ANAC_2018_Audiência Pública nº 04/2018_89,ANAC,2018,Audiência Pública nº 04/2018,Audiência Pública,"Proposta de resolução que altera dispositivos da Resolução nº 432, de 19 de junho de 2017, e declara a inaplicabilidade das Portarias nºs 5/GM-5, de 4 de fevereiro de 1975, e 495/GM-5, de 17 de maio de 1977.",Normas e regulamentos,Infraestrutura aeronáutica e aeroportuária,-,0,43137,2018,PNP,43137,43171,Disponível,Disponível,Disponível,43217,N/D,N/D,Resolução nº 482,43299,Disponível,43329
ANAC_2018_Audiência Pública nº 05/2018_90,ANAC,2018,Audiência Pública nº 05/2018,Audiência Pública,"Proposta de emenda ao Regulamento Brasileiro da Aviação Civil nº 21 (RBAC nº 21), intitulado “Certificação de Produto Aeronáutico”.",Normas e regulamentos,Produtos aeronáuticos,-,0,43165,2018,PNP,43165,43199,Disponível,Disponível,Disponível,N/D,N/D,N/D,Resolução nº 495,43453,Disponível,43328
ANAC_2018_Audiência Pública nº 07/2018_179,ANAC,2018,Audiência Pública nº 07/2018,Audiência Pública,"Proposta de emenda ao Regulamento Brasileiro da Aviação Civil nº 43 (RBAC nº 43), intitulado “Manutenção, Manutenção Preventiva, Reconstrução e Alteração”.",Normas e regulamentos,Produtos aeronáuticos,-,0,43196,2018,PNP,43196,43227,Disponível,Disponível,Disponível,43312,N/D,N/D,Resolução nº 482,43294,Disponível,43328
ANAC_2018_Audiência Pública nº 06/2018_91,ANAC,2018,Audiência Pública nº 06/2018,Audiência Pública,"Propostas de emendas aos Regulamentos Brasileiros da Aviação Civil - RBACs nºs: 175, intitulado “Transporte de artigos perigosos em aeronaves civis”; 121, intitulado “Requisitos operacionais: operações domésticas, de bandeira e suplementares”; e 135, intitulado “Requisitos operacionais: operações complementares e por demanda”.",Normas e regulamentos,Serviços aéreos,-,0,43196,2018,PNP,43196,43257,Disponível,Disponível,N/D,N/D,N/D,N/D,N/D,N/D,N/D,43328
ANAC_2018_Audiência Pública nº 08/2018_180,ANAC,2018,Audiência Pública nº 08/2018,Audiência Pública,"Proposta de emenda ao Regulamento Brasileiro da Aviação Civil nº 35 (RBAC nº 35), intitulado “Requisitos de aeronavegabilidade: hélices”.",Normas e regulamentos,Produtos aeronáuticos,-,0,43214,2018,PNP,43214,43244,Disponível,Disponível,N/A,N/A,N/A,N/A,Resolução nº 486,43325,Disponível,43329
